 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28
1052,29.542,38.784,30.831,24.132,26.872,35.516,51.092,39.290,39.664,24.744,39.548,34.726,32.275,34.447,34.570,34.027,24.234,25.324,23.873,27.401,37.263,34.784,32.748,31.766,32.781,47.594,34.410,53.063
1053,29.565,38.268,30.901,24.153,27.009,35.316,50.732,39.348,39.465,24.684,38.844,35.228,32.115,34.208,34.598,33.699,24.046,25.002,23.866,27.305,37.019,34.694,32.651,32.005,32.791,47.743,33.977,52.602
1054,29.364,38.428,30.868,23.873,26.785,34.978,50.632,39.115,39.518,24.510,39.362,34.737,31.589,34.405,34.297,33.931,24.040,24.623,23.841,27.307,37.188,34.632,32.727,31.574,32.585,47.305,33.973,52.687
1055,29.382,38.377,30.897,23.910,26.967,34.967,50.647,39.051,39.428,24.713,38.898,34.575,31.670,34.129,34.427,33.678,23.989,24.715,23.684,27.076,37.015,34.645,32.505,31.734,32.582,47.463,34.070,52.642
1056,29.076,38.333,30.926,23.751,26.863,35.041,50.559,38.996,39.456,24.588,38.554,34.261,31.369,34.163,34.247,33.654,23.877,24.285,23.795,27.297,37.441,34.569,32.161,31.732,32.524,47.431,34.083,52.624
1057,29.326,38.151,30.846,23.722,26.937,35.070,50.516,39.432,39.603,24.703,38.494,34.647,30.968,34.371,34.268,33.694,23.986,24.401,23.811,27.174,37.306,34.755,32.295,31.938,32.400,47.521,34.183,52.418
1058,29.186,38.231,30.952,23.913,26.967,34.854,50.199,39.380,39.612,24.516,38.784,34.555,30.977,33.921,34.530,34.013,23.840,24.059,23.661,27.250,37.092,34.751,32.459,31.458,32.516,47.239,33.967,52.780
1059,29.104,38.382,31.401,23.889,27.159,54.174,74.497,58.560,41.914,26.117,46.180,38.302,34.250,45.121,40.763,35.747,25.163,26.585,24.241,27.573,43.737,41.951,41.773,34.522,41.677,56.438,37.600,52.992
1060,29.316,38.572,31.559,24.421,28.187,62.194,84.242,68.607,44.522,27.744,52.332,43.043,39.002,56.116,41.801,35.697,25.888,29.296,24.445,27.880,44.719,47.269,45.411,37.576,45.336,56.422,45.687,52.737
1061,29.127,38.302,31.239,23.995,27.356,50.889,68.595,52.908,41.800,25.893,46.458,38.944,36.319,46.016,37.440,34.500,25.583,27.700,24.186,27.612,40.221,40.455,39.644,34.034,38.931,50.933,37.920,52.659
1062,29.178,38.356,31.000,23.950,27.206,44.584,60.741,45.509,40.351,25.080,42.377,35.969,34.688,39.874,35.363,34.066,24.854,26.866,23.889,27.396,38.171,37.214,36.003,32.847,35.477,49.000,34.923,52.497
1063,49.369,65.241,32.493,32.249,35.435,51.477,71.452,48.100,44.735,29.752,50.719,42.465,38.523,38.734,36.453,34.963,24.891,26.433,24.486,31.307,40.081,42.694,44.248,40.113,40.732,52.514,34.677,52.885
1064,48.809,61.384,32.250,32.198,33.965,51.015,72.396,46.243,44.792,28.871,53.683,42.072,38.408,37.439,36.252,35.202,24.786,25.943,24.557,29.815,39.199,41.516,44.792,38.328,40.460,51.571,33.903,52.822
1065,40.201,50.790,31.217,28.270,29.465,44.499,63.276,41.965,42.044,26.791,47.506,38.391,36.220,35.295,34.891,34.106,24.537,25.595,24.002,27.979,37.670,37.761,39.552,34.929,36.384,49.206,33.847,52.865
