 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12
257,73.007,75.631,75.158,81.211,75.815,74.632,75.024,76.605,74.032,75.147,70.546,70.494
258,72.087,74.971,74.807,80.935,75.109,74.537,74.665,76.547,74.667,75.122,70.622,70.167
259,72.699,75.201,75.057,81.135,75.064,74.994,75.086,76.397,74.255,75.565,71.312,70.281
260,72.648,74.980,74.863,81.516,74.179,74.629,74.766,75.990,74.235,75.763,70.607,70.372
261,72.751,75.098,75.250,81.722,75.176,74.139,75.479,76.619,74.554,75.519,71.135,70.549
262,72.376,75.209,74.968,80.867,74.672,74.416,74.493,76.113,73.703,75.603,70.735,70.454
263,72.761,74.997,74.352,81.243,74.441,74.482,75.131,76.004,73.900,75.477,70.841,70.204
264,72.479,74.966,74.850,81.737,74.945,74.521,74.417,76.169,73.988,75.426,70.921,70.440
265,73.221,75.229,75.274,81.226,74.359,74.537,74.802,76.289,74.265,75.469,70.928,70.595
266,72.779,74.790,74.880,81.158,75.052,74.269,75.007,78.815,73.831,75.139,71.056,70.502
267,72.916,76.074,74.483,80.890,74.802,75.066,74.662,79.082,74.762,75.397,70.942,70.362
268,73.122,75.969,74.574,81.409,75.143,74.814,74.684,77.450,74.922,75.385,70.903,70.361
269,72.883,75.270,74.632,81.123,75.006,74.773,73.963,77.155,74.647,75.195,70.982,70.393
270,72.671,75.594,75.040,81.602,74.854,74.798,74.865,76.844,74.547,75.618,70.914,70.526
271,72.672,75.435,75.212,80.789,75.164,74.427,74.540,77.032,74.890,75.531,71.129,70.595
272,72.138,75.226,74.703,81.897,75.131,74.186,74.464,76.742,74.779,74.693,71.348,70.074
