 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26
103,88.418,90.555,89.988,89.503,84.257,112.249,99.982,92.905,93.773,106.898,97.198,102.451,115.630,92.637,88.251,102.269,94.057,88.139,83.606,89.800,93.798,84.738,81.866,94.976,95.936,101.229
104,88.333,90.884,89.487,89.992,84.507,112.146,100.511,93.208,93.892,106.509,96.856,103.118,115.777,92.949,88.747,102.768,93.698,87.727,84.357,89.428,93.587,84.382,82.731,94.918,95.915,100.999
105,88.716,91.301,89.612,90.036,84.385,111.611,100.486,93.556,93.347,106.706,96.769,102.439,114.684,92.322,88.091,102.030,94.023,88.336,83.649,88.936,94.090,85.073,81.613,94.567,96.113,101.104
106,88.620,90.656,88.925,89.257,84.271,112.260,99.448,93.722,93.703,106.142,97.222,102.732,115.682,93.619,89.145,102.961,93.554,87.427,84.006,89.227,94.135,84.932,82.094,94.811,95.653,100.898
107,88.066,91.173,89.732,90.180,84.694,112.599,101.201,92.509,93.865,107.137,97.436,102.372,115.836,93.046,88.171,101.887,94.740,87.503,82.866,89.401,93.209,84.707,82.868,95.178,96.352,100.152
108,88.795,91.173,89.326,90.924,83.784,112.231,100.573,93.343,93.595,107.943,97.262,102.694,115.540,92.777,88.176,102.446,94.594,87.186,84.012,89.625,94.173,84.826,82.077,94.868,96.437,101.540
109,89.073,90.671,89.438,90.860,84.077,112.081,100.561,93.271,93.907,108.145,97.125,102.267,115.220,92.431,88.260,102.676,94.058,87.787,83.565,89.068,94.245,84.455,82.101,95.291,95.886,100.078
110,88.920,91.585,89.601,90.303,84.549,112.238,100.526,92.995,94.202,106.197,96.736,102.287,115.369,92.135,89.030,102.241,94.080,87.264,82.891,89.308,93.354,84.219,82.543,95.440,95.221,100.658
111,88.730,91.050,89.533,89.629,84.184,112.002,100.458,93.498,93.316,106.661,97.097,102.662,116.601,92.787,88.670,103.025,94.406,87.253,83.554,89.695,93.499,84.890,81.430,95.379,95.651,100.372
112,88.754,90.645,89.333,90.357,84.017,111.518,101.106,93.083,93.444,106.052,96.771,102.879,115.406,93.051,88.475,101.878,93.546,87.826,83.088,89.854,93.675,84.840,82.243,94.731,94.532,100.760
113,88.664,91.422,89.733,89.733,84.184,112.383,100.381,92.650,94.041,106.645,96.354,102.204,115.171,92.322,88.518,101.191,93.656,87.157,84.043,89.004,93.475,83.695,82.187,94.997,95.884,100.963
114,88.187,91.370,89.758,90.108,84.173,111.732,100.083,93.120,93.879,106.645,98.325,102.139,115.441,92.490,89.044,101.738,93.524,87.624,84.002,89.736,94.157,84.516,82.276,95.190,95.917,100.565
115,88.997,92.109,90.329,89.930,84.768,112.779,100.558,93.639,93.608,106.488,96.561,102.443,115.508,92.409,88.843,102.651,94.315,88.600,83.449,89.807,92.736,84.606,82.538,94.430,95.668,101.214
116,92.690,95.166,91.077,93.677,85.207,132.601,114.545,93.856,96.808,121.462,104.847,105.251,121.253,98.190,91.183,105.094,100.631,89.063,84.103,93.819,94.708,84.743,82.469,94.864,99.640,101.514
117,93.588,95.284,92.478,94.625,84.602,141.980,120.191,95.072,96.413,129.635,106.342,105.040,122.438,96.688,90.630,105.230,101.843,92.246,83.886,93.508,95.207,85.166,82.452,96.127,99.324,101.949
118,93.823,96.090,93.940,94.770,84.894,147.694,120.104,95.030,96.814,131.602,110.198,106.763,119.672,96.449,91.738,105.887,103.113,93.103,84.555,94.552,93.910,84.726,82.396,95.408,97.515,101.432
119,95.496,97.408,95.392,97.102,85.733,156.544,123.719,97.317,97.170,137.448,112.495,108.197,119.519,96.827,94.030,105.524,106.270,95.105,84.020,95.091,94.271,85.159,82.373,95.899,97.424,101.107
120,95.211,98.597,95.517,98.218,85.669,162.845,125.407,97.512,97.715,143.723,115.198,108.421,120.270,97.404,95.630,107.191,107.425,96.228,84.225,96.021,94.513,85.197,82.553,95.247,96.941,101.816
121,95.886,99.600,95.587,97.637,85.448,164.807,124.791,99.183,97.923,144.346,114.106,108.235,118.512,97.066,96.691,106.632,106.700,97.027,84.163,95.310,93.518,85.055,84.305,95.650,96.582,101.652
122,95.600,101.519,95.595,95.301,85.155,165.644,124.859,98.743,97.127,146.505,113.564,107.860,117.846,96.731,96.585,105.499,107.029,98.673,84.005,95.900,94.318,84.335,83.712,96.086,96.775,102.403
123,95.697,101.981,95.062,94.667,85.471,164.052,125.204,98.440,97.196,145.690,115.127,108.379,117.211,97.228,94.876,106.117,108.020,96.221,83.543,95.736,93.708,84.520,84.204,94.839,95.890,102.279
124,96.631,101.834,95.609,94.299,85.436,163.935,126.172,98.271,97.346,145.538,113.993,108.334,117.025,96.178,95.440,107.995,109.168,96.734,84.126,95.384,93.815,85.084,83.397,95.121,96.537,101.871
