 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13
218,171.707,132.725,116.274,137.758,152.452,189.461,171.280,155.884,141.614,160.707,91.517,129.270,145.740
219,171.942,133.580,116.231,136.024,151.970,191.017,167.317,154.194,139.660,159.745,93.417,131.582,150.260
220,168.748,132.955,119.653,132.328,151.680,188.330,168.680,155.721,139.296,160.003,88.817,127.142,147.004
221,169.857,137.439,118.314,133.028,151.344,188.763,167.816,154.458,141.705,159.618,91.580,129.424,144.917
222,168.923,132.420,118.013,132.636,148.516,190.935,168.732,152.243,140.404,159.715,91.159,127.720,144.403
223,169.650,134.318,117.935,135.047,148.614,188.733,168.513,153.748,138.049,158.087,89.042,126.890,143.391
224,163.552,134.455,117.914,132.683,149.272,190.576,168.014,152.805,140.423,157.235,89.427,129.267,145.425
225,168.211,133.051,113.854,131.638,147.965,189.515,167.425,150.272,139.256,156.466,86.528,127.613,142.229
226,170.870,135.378,117.590,135.370,147.375,190.552,171.476,150.982,141.473,156.136,87.802,128.348,147.304
227,169.198,133.792,116.469,132.148,149.277,190.034,168.064,147.890,139.578,156.909,90.241,129.751,145.704
228,169.089,135.649,115.459,132.465,148.461,190.838,168.471,148.690,140.385,162.357,88.386,127.722,144.366
229,168.824,135.131,115.838,130.098,147.642,188.929,165.486,149.099,138.775,159.355,89.023,127.867,143.525
230,171.207,134.965,115.975,135.531,147.134,188.707,168.495,148.789,139.216,159.997,89.200,128.745,144.092
231,168.424,137.304,115.797,138.092,146.690,189.771,167.142,149.936,140.634,158.059,89.923,129.666,145.671
232,170.385,135.878,117.237,133.775,147.091,191.278,168.062,149.108,136.980,158.629,89.519,129.143,143.502
233,174.176,135.906,114.627,132.887,146.726,190.343,166.905,151.023,139.270,157.978,89.997,127.377,145.428
234,169.115,136.575,115.388,132.004,148.459,188.235,166.787,149.144,140.171,157.488,88.363,128.082,144.084
235,170.267,134.378,117.590,136.004,150.341,190.187,167.898,151.611,140.804,160.040,88.636,129.305,144.105
236,171.653,132.463,119.099,132.422,145.723,192.397,170.889,150.044,141.340,157.202,89.217,126.487,144.028
237,168.955,132.090,117.209,133.054,149.407,190.299,167.982,149.515,141.746,159.710,89.053,126.771,144.464
238,171.222,133.478,118.680,134.912,145.305,193.481,165.422,150.624,141.082,157.533,91.081,127.951,144.033
239,169.271,133.806,115.556,133.024,145.004,191.030,166.809,150.256,137.070,159.206,90.255,126.344,145.091
240,169.905,132.584,117.515,132.169,146.649,190.543,166.138,152.863,142.806,157.884,88.205,126.123,143.966
241,167.678,135.122,118.002,130.660,144.783,191.504,166.183,149.982,138.596,157.877,86.091,125.149,144.711
242,168.402,134.210,116.816,131.715,146.339,191.149,163.915,150.478,138.413,160.098,89.461,126.936,145.603
243,171.278,134.094,115.630,136.111,146.411,190.759,167.399,147.394,140.050,159.429,89.997,127.360,143.629
244,170.222,134.551,116.356,132.726,145.458,189.524,167.474,150.394,140.299,156.302,87.739,125.618,143.846
245,169.271,133.769,116.463,137.161,145.680,189.364,165.629,149.018,139.645,158.131,90.127,123.576,141.853
246,170.382,132.563,114.219,135.734,145.674,189.743,163.892,147.953,140.633,158.467,90.106,128.184,143.013
247,167.689,130.871,115.860,134.398,145.064,191.392,167.535,148.031,136.001,156.386,86.730,127.258,143.764
248,166.111,133.445,116.945,133.944,146.719,186.707,166.050,148.573,142.510,154.943,86.728,127.997,144.586
249,169.115,136.073,116.171,134.422,147.226,190.543,164.944,150.324,139.124,158.820,89.950,126.178,143.993
250,169.411,136.837,116.861,135.135,144.343,192.882,165.078,147.832,139.999,159.011,87.198,126.852,145.218
251,168.647,134.914,116.372,133.769,146.556,191.907,164.825,148.276,139.158,158.188,87.281,126.413,141.333
