 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
250,76.984,75.138,62.271,90.009,60.977,57.854,58.533,64.798,73.399,66.446
251,75.297,74.616,61.520,89.059,61.385,58.758,58.710,65.128,73.326,65.321
252,76.841,74.470,62.294,87.948,60.345,58.014,58.868,63.880,73.481,65.743
253,77.430,77.955,62.467,89.680,61.348,61.470,59.240,64.686,73.804,67.185
254,87.841,99.262,65.986,91.155,64.844,67.374,59.710,65.404,73.596,66.582
255,87.508,112.898,67.512,89.544,66.919,70.302,60.222,64.937,73.777,66.538
256,86.520,119.795,67.078,90.951,67.390,72.171,61.013,65.145,73.557,67.912
257,90.618,127.525,66.935,92.845,67.526,72.064,61.247,65.366,74.051,68.020
258,87.320,125.674,66.622,90.513,67.081,72.153,61.571,65.374,74.421,68.157
259,85.239,122.680,66.708,91.365,67.196,70.804,61.518,65.295,74.905,67.892
260,87.297,133.644,67.773,98.991,68.811,71.794,63.129,66.052,74.662,68.655
261,86.720,132.986,67.333,98.379,67.509,70.288,62.470,64.637,75.026,69.137
262,86.200,128.489,66.643,95.746,66.758,68.601,61.935,64.634,74.554,69.181
263,84.267,124.362,64.973,91.696,66.436,69.164,61.230,64.995,74.760,67.739
264,82.237,120.567,64.633,88.466,65.327,68.064,61.127,64.495,74.135,66.305
265,80.467,119.517,64.057,87.934,65.136,68.210,60.642,64.642,74.257,67.000
266,79.568,116.854,63.820,85.915,66.141,67.875,60.159,64.978,74.589,67.104
267,81.329,118.636,63.873,84.306,66.698,68.157,59.535,65.022,73.723,67.032
268,81.149,118.868,64.076,82.569,67.877,68.719,60.073,65.156,73.804,66.867
269,80.053,118.172,64.233,81.619,67.854,68.427,59.863,65.667,73.682,66.430
270,79.195,116.056,63.671,80.369,66.264,68.349,59.806,65.068,73.637,66.116
271,77.690,112.078,63.104,80.315,64.879,66.235,59.366,65.123,73.734,65.414
272,77.232,106.961,62.996,77.969,63.778,66.406,59.457,65.191,73.276,66.482
273,76.708,103.779,62.576,79.273,63.516,65.167,59.940,64.732,73.814,66.096
274,79.876,101.951,62.490,77.094,64.385,63.865,58.985,65.199,74.292,66.952
275,80.336,100.614,63.359,76.842,63.746,64.391,59.089,65.027,73.553,65.277
276,78.906,98.204,62.071,76.805,63.479,64.352,59.025,65.112,73.839,66.755
277,77.145,95.354,62.441,75.252,63.504,63.409,59.469,65.350,73.623,65.948
278,76.995,94.375,62.237,74.988,62.589,65.900,59.455,63.902,73.780,65.165
279,77.011,92.041,62.394,74.508,62.605,65.480,59.109,64.497,73.376,65.365
280,76.471,89.561,62.390,74.675,62.116,64.057,58.613,65.044,73.780,65.651
281,76.402,86.520,62.184,73.769,61.506,62.548,59.263,65.456,73.677,65.606
282,76.113,85.451,62.349,73.781,62.015,61.566,58.815,64.770,73.713,66.129
283,76.218,83.224,62.388,73.167,61.758,60.473,58.829,65.076,73.662,66.068
