 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35
641,23.246,23.438,23.384,35.776,24.069,22.287,22.918,27.230,26.925,27.854,25.057,25.685,25.930,22.574,24.938,26.801,25.332,25.005,52.838,133.497,85.451,40.019,37.822,37.720,39.763,31.212,24.777,25.435,27.370,25.321,24.530,22.494,25.070,26.331,24.093
642,23.245,23.435,23.330,35.665,23.910,22.386,23.151,27.028,27.322,27.873,25.079,25.595,25.927,22.405,25.025,26.608,25.261,25.208,52.669,143.426,89.496,39.864,37.570,37.582,39.563,31.235,24.508,25.405,27.209,25.310,24.490,22.594,25.016,26.246,24.075
643,23.177,23.481,23.291,35.604,24.031,22.222,23.123,27.192,26.935,27.893,25.039,25.643,25.807,22.269,24.900,26.882,25.141,25.107,53.046,143.183,92.763,39.632,37.521,36.262,38.347,31.025,24.454,25.465,27.302,25.501,24.679,22.423,25.042,26.261,24.252
644,23.249,23.317,23.261,35.585,24.103,22.315,23.012,27.117,27.131,27.830,25.077,25.478,25.726,22.321,24.770,26.631,25.116,25.176,52.665,147.030,95.524,39.757,37.462,35.680,37.869,31.093,24.657,25.369,27.154,25.216,24.381,22.417,25.080,26.237,24.022
645,23.075,23.287,23.500,35.648,23.849,22.313,23.140,27.317,26.938,27.690,24.932,25.548,25.412,22.377,24.652,26.693,25.258,25.117,52.287,146.169,95.663,39.175,37.443,34.893,36.735,31.106,24.662,25.405,27.238,25.263,24.222,22.329,25.185,26.112,24.175
646,23.308,23.556,23.234,35.554,24.094,22.284,23.003,27.086,26.954,27.817,24.903,25.214,25.220,22.392,24.738,26.687,25.161,25.295,51.741,141.199,97.813,38.975,37.102,33.969,35.943,30.545,24.506,25.230,27.095,25.154,24.026,22.362,25.230,26.232,24.007
647,23.153,23.333,23.275,35.326,24.001,22.387,23.006,27.002,26.992,27.810,24.860,25.128,25.067,22.438,24.766,26.494,25.113,25.275,51.521,138.424,100.184,38.491,37.341,33.538,35.461,30.778,24.407,25.255,27.071,25.071,23.911,22.302,25.272,26.241,24.053
648,23.216,23.424,23.357,35.597,24.115,22.227,22.959,27.123,26.748,27.864,24.878,25.257,24.950,22.408,24.424,26.651,25.211,25.056,51.901,135.914,100.480,38.192,37.496,32.640,34.853,30.687,24.471,25.297,27.135,25.278,23.725,22.469,24.998,26.175,24.086
649,23.114,23.363,23.294,35.324,24.050,22.294,22.959,26.978,26.675,27.705,24.857,25.214,24.854,22.290,24.498,26.702,25.145,25.119,51.312,133.455,96.800,38.092,37.114,32.564,34.078,30.338,24.521,25.269,26.817,25.036,23.771,22.435,25.171,26.072,24.073
650,23.089,23.396,23.244,35.012,24.069,22.229,23.018,27.048,26.820,27.702,24.796,25.396,24.695,22.374,24.515,26.730,25.134,25.019,51.116,130.955,94.666,37.860,36.561,32.640,33.861,29.962,24.489,25.130,26.829,24.991,23.557,22.548,25.019,25.869,23.896
651,23.136,23.509,23.350,34.869,24.019,22.319,22.891,26.983,26.812,27.704,25.025,25.226,24.703,22.374,24.391,26.465,25.194,25.075,50.558,129.670,91.859,37.347,37.021,31.573,33.535,30.210,24.460,25.084,26.866,24.840,23.386,22.469,24.965,25.976,23.960
652,23.147,23.319,23.309,34.979,23.824,22.253,23.095,27.021,26.904,27.720,24.930,25.161,24.641,22.308,24.253,26.603,25.171,25.105,50.285,128.429,90.153,37.779,36.792,31.222,32.645,29.884,24.362,24.934,26.758,24.688,23.321,22.333,25.047,25.950,24.035
653,23.067,23.403,23.297,35.084,23.985,22.201,23.026,26.902,26.692,27.732,24.785,25.130,24.452,22.454,24.350,26.343,25.048,25.024,50.060,127.236,87.863,37.623,36.801,31.156,32.902,30.018,24.386,24.970,26.739,24.893,23.306,22.392,24.904,26.024,23.965
654,23.239,23.461,23.201,34.871,24.001,22.186,22.949,27.092,26.874,27.731,24.860,25.068,24.548,22.328,24.282,26.637,25.096,25.024,50.040,126.869,85.866,37.325,36.862,31.258,32.453,29.775,24.580,24.982,26.679,24.719,23.264,22.388,25.054,26.108,23.945
655,23.218,23.463,23.284,35.068,23.868,22.273,22.972,26.770,26.726,27.664,24.901,25.054,24.488,22.305,24.315,26.403,25.142,24.995,49.549,124.803,84.149,36.989,36.915,30.462,32.037,29.861,24.445,24.828,26.647,24.526,23.180,22.419,24.934,25.989,24.100
656,23.147,23.525,23.266,34.821,23.953,22.245,23.006,26.759,26.686,27.675,24.789,24.909,24.425,22.326,24.357,26.502,25.133,24.832,49.502,123.838,82.639,36.983,36.803,30.773,31.747,29.449,24.213,25.136,26.648,24.650,23.096,22.367,24.920,25.886,23.856
657,23.161,23.259,23.243,34.705,23.807,22.139,22.874,26.713,26.638,27.557,24.767,24.984,24.037,22.379,24.355,26.650,24.894,24.878,49.606,123.023,81.121,36.938,36.956,30.489,31.971,29.654,24.285,24.946,26.572,24.813,22.984,22.492,25.075,25.989,23.836
658,23.131,23.229,23.273,34.638,23.887,22.357,22.871,26.807,26.888,27.622,24.824,24.837,24.251,22.441,24.121,26.560,25.111,24.844,48.938,121.560,79.364,36.789,36.746,30.311,31.563,29.470,24.184,24.950,26.508,24.343,23.122,22.329,25.047,26.044,23.830
659,22.985,23.245,23.240,34.560,24.009,22.080,22.874,26.881,26.789,27.592,24.959,25.044,23.939,22.423,24.195,26.587,25.093,24.771,49.136,120.677,78.455,36.975,36.544,29.764,31.196,29.399,24.190,24.918,26.527,24.388,23.051,22.398,25.232,26.007,23.732
