 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34
631,24.385,24.432,29.698,17.337,21.687,21.780,14.208,12.798,11.716,13.242,11.947,12.875,17.238,12.857,12.540,11.244,11.709,11.462,10.944,11.317,12.771,12.490,11.361,11.336,12.733,13.772,11.955,12.039,11.123,10.722,13.102,15.769,10.408,11.464
632,24.018,24.385,29.831,18.439,21.917,21.616,14.199,12.587,11.708,13.514,12.013,12.873,17.518,12.913,12.658,11.251,11.598,11.606,11.251,11.577,12.708,12.558,11.402,11.266,12.777,13.641,12.139,11.749,11.253,10.781,12.977,15.766,10.570,11.503
633,25.653,25.151,29.933,18.362,22.392,21.879,14.979,12.781,11.925,14.270,12.162,13.567,17.807,13.011,12.821,11.313,11.584,11.848,11.240,11.645,12.845,12.637,11.347,11.326,12.880,13.997,12.172,11.480,11.260,10.923,13.017,15.887,10.594,11.681
634,24.577,25.299,30.667,17.278,22.241,21.997,15.554,12.940,12.192,14.111,12.114,13.383,17.518,13.477,12.991,11.303,11.724,11.686,11.072,11.543,12.927,12.574,11.408,11.313,12.777,13.882,12.344,11.372,11.260,10.930,13.070,16.022,10.625,11.594
635,23.263,25.264,30.651,16.806,21.920,21.760,15.739,12.774,12.282,13.933,12.048,13.016,17.513,13.770,13.186,11.374,11.564,11.779,11.214,11.411,13.176,12.569,11.406,11.397,12.757,13.803,12.231,11.233,11.289,10.973,13.178,15.906,10.514,11.536
636,22.163,25.228,30.290,17.247,21.688,21.738,15.385,12.588,12.232,13.770,12.030,12.816,17.463,13.599,13.226,11.299,11.654,11.784,11.228,11.460,13.114,12.564,11.335,11.252,12.821,13.605,12.054,11.358,11.353,10.940,13.195,15.730,10.552,11.539
637,21.409,26.107,31.247,18.676,21.748,21.647,15.101,12.355,12.277,13.613,12.373,12.622,18.013,13.662,13.158,11.337,12.114,12.564,11.331,11.664,13.344,12.584,11.359,11.342,12.802,13.505,12.099,11.334,11.632,11.240,13.023,15.750,10.581,11.702
638,20.659,26.424,30.727,17.533,21.071,21.776,14.857,12.324,12.197,13.477,12.298,12.353,18.135,13.615,13.388,11.378,12.215,12.761,11.153,11.642,13.176,12.533,11.504,11.309,12.748,13.428,12.094,11.156,11.661,11.327,13.009,15.577,10.647,11.642
639,20.250,26.759,30.045,16.941,20.997,21.709,14.780,12.089,12.202,13.494,12.321,12.266,18.190,13.644,13.533,11.307,12.087,12.680,11.195,11.702,13.038,12.522,11.422,11.342,12.762,13.349,12.012,11.295,11.547,11.344,13.044,15.253,10.459,11.639
640,25.703,27.653,31.178,17.296,21.301,21.841,14.898,11.854,12.196,13.869,12.616,12.277,18.355,14.029,13.853,11.354,12.533,12.939,11.142,11.785,13.046,12.617,11.349,11.349,12.807,14.090,11.995,11.463,11.658,11.523,13.058,15.597,10.795,11.873
641,27.169,27.812,31.321,16.125,21.167,21.849,15.540,11.830,12.215,13.878,12.506,12.116,18.170,13.575,13.581,11.339,12.262,12.743,10.936,11.721,13.049,12.560,11.384,11.343,12.769,14.218,12.148,11.309,11.484,11.388,13.050,15.695,10.801,11.940
642,27.013,27.728,31.202,15.028,20.528,21.843,15.956,11.750,12.282,13.688,12.329,12.014,17.735,13.338,13.356,11.315,11.860,12.438,10.805,11.475,13.058,12.586,11.386,11.279,12.767,14.144,12.245,11.195,11.314,11.306,13.023,15.452,10.678,11.866
643,25.225,26.925,30.086,14.242,20.198,21.838,15.755,11.663,12.196,13.597,12.202,11.819,17.657,13.054,13.174,11.293,11.772,12.037,10.618,11.434,12.988,12.601,11.361,11.594,12.742,13.910,12.499,11.097,11.253,11.245,12.974,15.298,10.561,11.721
644,24.703,26.367,30.164,14.477,20.836,21.846,15.497,11.604,12.263,13.496,12.399,11.967,17.580,13.136,13.209,11.299,12.201,11.754,10.560,11.551,12.871,12.443,11.384,11.907,12.748,13.597,12.391,11.231,11.133,11.096,13.020,15.356,10.492,11.869
645,25.978,26.455,30.181,15.883,20.976,21.775,15.227,11.471,12.264,13.386,12.270,12.961,17.753,13.347,13.460,11.269,12.240,11.806,10.652,11.347,12.905,12.531,11.361,11.774,12.872,13.628,12.294,11.411,11.174,11.057,12.980,15.200,10.695,11.807
646,24.831,25.765,29.375,15.337,20.646,21.724,15.001,11.391,12.083,13.348,12.162,12.780,17.556,13.991,13.467,11.232,11.995,11.543,10.596,11.309,12.911,12.493,11.378,11.892,12.721,13.526,12.238,11.295,11.137,11.032,13.058,15.000,10.556,11.778
647,23.461,25.299,29.233,15.668,20.405,21.712,14.775,11.385,12.126,13.347,12.065,12.534,17.471,13.670,13.221,11.293,11.789,11.550,10.783,11.298,12.800,12.574,11.331,11.817,12.750,13.244,12.838,11.224,11.061,11.026,13.117,14.984,10.563,11.767
648,24.572,26.111,29.637,17.051,20.324,21.909,14.645,11.269,12.070,13.232,12.023,12.320,17.971,13.363,13.335,11.345,11.627,11.917,11.025,11.604,12.942,12.555,11.239,11.664,12.772,13.246,12.739,11.370,11.286,11.078,13.009,14.860,10.651,11.663
649,26.044,26.964,30.637,17.821,20.447,21.856,14.540,11.280,12.086,13.191,12.331,12.092,18.039,13.532,13.177,11.416,12.090,12.149,10.981,11.702,12.987,12.649,11.345,11.548,12.775,13.172,12.464,11.333,11.460,11.145,13.015,14.972,10.629,11.887
650,28.235,27.925,31.781,17.503,20.624,21.871,14.573,11.286,12.059,13.182,12.479,12.047,18.161,13.465,13.228,11.390,12.223,12.452,10.786,11.691,13.181,12.574,11.367,11.479,12.750,13.400,12.334,11.226,11.340,11.202,13.102,15.563,10.841,11.852
651,26.956,28.392,31.323,16.227,20.717,21.848,15.060,11.196,12.173,13.226,12.276,11.942,18.011,13.283,13.277,11.214,11.969,12.282,10.627,11.762,12.989,12.512,11.461,11.433,12.755,13.385,12.400,11.248,11.289,11.122,12.968,15.380,10.839,11.742
652,25.212,27.948,30.717,15.184,20.757,21.846,15.420,11.157,12.206,13.221,12.190,11.777,17.801,13.053,13.081,11.301,11.843,11.990,10.524,11.706,13.015,12.595,11.396,11.471,12.796,13.328,14.442,11.104,11.168,11.057,13.032,15.401,10.587,11.730
